material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count,a,b,c,alpha,beta,gamma,Li_mass_frac,P_mass_frac,O_mass_frac,M_mass_frac,total_elec_neg,mean_radius
mp-25929,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,571.8328341812477,4.203076634588401,14.295820854531192,R-3,148,Trigonal,-2.509938990196429,0.039916890249999,3.7574,3,9.75635832902349,9.75635832902349,9.756357993448272,54.45921639813002,54.45921639813002,54.45921978267487,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-27069,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1080.6273519731658,4.448262798177532,13.507841899664571,P2_1/c,14,Monoclinic,-2.510777986946429,0.039077893499999,4.0926,3,9.363668,8.873664999999999,15.563777902550044,56.68106808783795,90.0,90.0,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-684042,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,555.7061522957953,4.325050594290229,13.892653807394884,C2/c,15,Monoclinic,-2.501184845696428,0.048671034749999,4.026,3,8.875133839448564,8.875133839448564,9.254019761441025,63.64111873538401,63.64111873538401,63.3259393728408,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-684504,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1136.6204016177678,4.229129128452721,14.207755020222098,P2_1/c,14,Monoclinic,-2.512523591821428,0.037332288624999,4.0294,3,9.233426,9.224183,16.03576682084873,56.326828540646595,90.0,90.0,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-759290,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,549.8018548054773,4.371497118881167,13.745046370136931,C2/c,15,Monoclinic,-2.4661688149464283,0.0836870655,3.6043,3,9.024653582848984,9.024653582848984,8.876968451310223,63.294954285639854,63.294954285639854,63.643772542893586,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-759381,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,505.0786474173743,4.758580146928201,12.626966185434355,C2/m,12,Monoclinic,-2.477896700446429,0.071959179999999,3.113099999999999,3,5.157749802145311,5.157749802145311,20.742173319356315,89.56071167584805,89.56071167584805,66.26004692687398,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-759390,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1059.9644371309323,4.534977099313339,13.249555464136654,P2/c,13,Monoclinic,-2.459221797196428,0.090634083249999,3.1666,3,9.449902,8.813636,12.853011048981248,81.95434423423224,90.0,90.0,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-759734,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1090.351644933083,4.408590999805702,13.629395561663538,C2/c,15,Monoclinic,-2.459954231821429,0.089901648624999,3.5437000000000003,3,9.717118460680462,9.717118460680462,17.387839578986288,63.944001283364734,63.944001283364734,49.34402390797083,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-780333,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1130.281559610458,4.252846919073859,14.128519495130725,P2_1/c,14,Monoclinic,-2.504520078321428,0.045335802124999,4.1031,3,9.237253,9.30885,16.038490426226527,55.041438068623755,90.0,90.0,0.02877305627503243,0.12839789613534952,0.26529412855021106,0.577534919039407,54.83,0.8875
mp-26285,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,72,1067.3624683840685,4.417157408881906,14.824478727556508,P2_1,4,Monoclinic,-2.289939936236772,0.070334764675926,0.2874,1,9.341174,8.939769,12.78211802647202,89.46895121984105,90.0,90.0,0.009778592078453425,0.13090899743542794,0.27048253467801364,0.588829875808105,52.870000000000005,0.825
mp-26301,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,72,1099.724784147192,4.287170847787432,15.273955335377666,Pc,7,Monoclinic,-2.283144509708994,0.077130191203703,0.2443,1,9.259155,9.171129,15.803458236707085,55.03265367147935,90.0,90.0,0.009778592078453425,0.13090899743542794,0.27048253467801364,0.588829875808105,52.870000000000005,0.825
mp-504151,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,36,552.470342734188,4.266933145996555,15.346398409283,P-1,2,Triclinic,-2.299484700958995,0.060789999953703,0.5567000000000001,1,8.786888172686734,9.682572871149743,8.77153018588376,63.44178078290878,60.14508532321974,62.968754617518826,0.009778592078453425,0.13090899743542794,0.27048253467801364,0.588829875808105,52.870000000000005,0.825
mp-540013,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,36,557.4946987037338,4.228477908532256,15.485963852881492,C2/c,15,Monoclinic,-2.253349445125661,0.106925255787037,0.0,1,9.086756362042783,9.086756362042783,9.146943759112657,62.06312359078019,62.06312359078019,61.76356651262879,0.009778592078453425,0.13090899743542794,0.27048253467801364,0.588829875808105,52.870000000000005,0.825
mp-585241,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,72,1068.8343574534324,4.411074552672751,14.844921631297671,P2_1/c,14,Monoclinic,-2.298465336097884,0.061809364814815,0.5374,1,9.319793,8.981119,15.460294358874963,55.68534516235007,90.0,90.0,0.009778592078453425,0.13090899743542794,0.27048253467801364,0.588829875808105,52.870000000000005,0.825
mp-729481,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,36,552.4702750339994,4.266933668870258,15.346396528722206,P-1,2,Triclinic,3.425564751541005,5.785839452453704,0.0,1,8.77153,8.78688772302008,9.676167305623235,116.95681428544451,89.73345629108124,119.85491115091838,0.009778592078453425,0.13090899743542794,0.27048253467801364,0.588829875808105,52.870000000000005,0.825
mp-26087,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,80,922.0443548314206,3.05152400515119,11.525554435392758,P2_1/c,14,Monoclinic,-2.341008921821429,0.032696838624996,1.1288,3,8.717461,8.716301,12.138003481085757,88.66625906373191,90.0,90.0,0.04915682042231401,0.2193591206508419,0.4532370740036137,0.2782469849232304,54.55,0.8625
mp-584742,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,80,887.7638182757513,3.16935701214652,11.097047728446892,P2_1/c,14,Monoclinic,-2.276380654446429,0.097325105999996,1.1195,3,8.755157,8.450388,14.478026443264877,55.97522487091003,90.0,90.0,0.04915682042231401,0.2193591206508419,0.4532370740036137,0.2782469849232304,54.55,0.8625
mp-773159,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,40,450.971248398876,3.119534219278661,11.2742812099719,C2,5,Monoclinic,-2.279242041446429,0.094463718999995,0.7849,3,8.48855441772302,8.48855441772302,8.410071136338205,62.3899105741683,62.3899105741683,62.27185302353412,0.04915682042231401,0.2193591206508419,0.4532370740036137,0.2782469849232304,54.55,0.8625
mp-774352,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,80,916.3176654756636,3.070595044265191,11.453970818445791,P2_1/c,14,Monoclinic,-2.301883707321429,0.071822053124996,0.9897,3,8.714192,8.712962,14.771525957525887,54.786664853299705,90.0,90.0,0.04915682042231401,0.2193591206508419,0.4532370740036137,0.2782469849232304,54.55,0.8625
mp-775012,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,40,444.0821220971782,3.167928117996286,11.102053052429456,R-3,148,Trigonal,-2.278882952696428,0.094822807749996,0.042,3,8.830900026955634,8.830900026955634,8.83090000975648,56.19526901603523,56.19526901603523,56.19526582295525,0.04915682042231401,0.2193591206508419,0.4532370740036137,0.2782469849232304,54.55,0.8625
mp-772654,Li4Co2(PO4)3,Co,Li4 Co2 P3 O12,42,476.23980524686414,3.002419849958703,11.339042982068191,P-1,2,Triclinic,-2.397636342964852,0.0584870842857,0.411599999999999,4,9.10950443610414,8.519034065801474,8.385083744998973,59.1114917112254,63.44315895389269,62.5439880972284,0.06448578845545332,0.21582273418832576,0.4459302364850222,0.27376124087119874,55.53,0.8904761904761904
mp-780762,Li4Co2(PO4)3,Co,Li4 Co2 P3 O12,84,948.6866597633792,3.014423845635796,11.293888806706898,Pbcn,60,Orthorhombic,-2.400110811179138,0.056012616071415,0.004,4,8.745071,8.911967,12.172671,90.0,90.0,90.0,0.06448578845545332,0.21582273418832576,0.4459302364850222,0.27376124087119874,55.53,0.8904761904761904
mp-780435,Li5Co2(PO4)3,Co,Li5 Co2 P3 O12,88,949.4702384489814,3.060492870865829,10.789434527829334,P2_1,4,Monoclinic,-2.450207194231602,0.08084138465909,2.7403999999999997,5,8.699978,8.792960273999423,12.412541229143894,90.02394419214176,90.69837955517144,90.06844509612155,0.07932834780553949,0.212398562003919,0.4388552547056442,0.26941783548489723,56.510000000000005,0.9159090909090909
mp-26088,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,901.5232953350333,3.018706320041003,12.52115687965324,P2_1/c,14,Monoclinic,-2.044365894847884,0.120186450509253,0.0,1,8.675564,8.589091,12.099115952949496,89.42846361335293,90.0,90.0,0.016940776616747324,0.22679134837442597,0.4685934500538605,0.28767442495496626,52.59,0.7972222222222222
mp-758304,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,36,412.7073466676202,3.2970506719423662,11.464092962989447,R-3c,167,Trigonal,-2.045679663181216,0.11887268217592,0.0,1,8.398920045132291,8.398920045132291,8.398920007014533,59.346103183407514,59.346103183407514,59.34610481410848,0.016940776616747324,0.22679134837442597,0.4685934500538605,0.28767442495496626,52.59,0.7972222222222222
mp-758309,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,917.6545192655065,2.9656412213501677,12.745201656465367,P2_1,4,Monoclinic,-2.033847803042328,0.130704542314809,0.0,1,8.76691,8.701593,12.029278221433112,89.70706302416893,90.0,90.0,0.016940776616747324,0.22679134837442597,0.4685934500538605,0.28767442495496626,52.59,0.7972222222222222
mp-764732,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,917.774349070204,2.965254010475601,12.746865959308389,Pc,7,Monoclinic,-1.995279845542327,0.169272499814809,0.0,1,8.783619,8.670389,14.78769356030605,54.581015224408894,90.0,90.0,0.016940776616747324,0.22679134837442597,0.4685934500538605,0.28767442495496626,52.59,0.7972222222222222
