#Step   Etot   PotE Ktot  T
0 -1.836256 -2.635686  0.799430 0.80
1 -1.836256 -2.633974  0.797718 0.80
2 -1.836258 -2.631113  0.794855 0.79
3 -1.836259 -2.627092  0.790833 0.79
4 -1.836261 -2.621897  0.785636 0.79
5 -1.836263 -2.615513  0.779249 0.78
6 -1.836266 -2.607921  0.771655 0.77
7 -1.836268 -2.599104  0.762836 0.76
8 -1.836270 -2.589048  0.752778 0.75
9 -1.836272 -2.577742  0.741470 0.74
10 -1.836274 -2.565183  0.728909 0.73
11 -1.836274 -2.551379  0.715105 0.72
12 -1.836274 -2.536352  0.700079 0.70
13 -1.836272 -2.520147  0.683875 0.68
14 -1.836263 -2.502822  0.666560 0.67
15 -1.836257 -2.484485  0.648228 0.65
16 -1.836248 -2.465257  0.629009 0.63
17 -1.836238 -2.445302  0.609065 0.61
18 -1.836224 -2.424821  0.588596 0.59
19 -1.836209 -2.404048  0.567839 0.57
20 -1.836192 -2.383250  0.547058 0.55
21 -1.836174 -2.362717  0.526543 0.53
22 -1.836161 -2.342754  0.506593 0.51
23 -1.836147 -2.323652  0.487506 0.49
24 -1.836134 -2.305696  0.469562 0.47
25 -1.836119 -2.289131  0.453012 0.45
26 -1.836107 -2.274169  0.438062 0.44
27 -1.836098 -2.260966  0.424868 0.42
28 -1.836093 -2.249621  0.413528 0.41
29 -1.836094 -2.240179  0.404086 0.40
30 -1.836097 -2.232628  0.396531 0.40
31 -1.836104 -2.226910  0.390807 0.39
32 -1.836114 -2.222930  0.386816 0.39
33 -1.836124 -2.220553  0.384429 0.38
34 -1.836134 -2.219626  0.383492 0.38
35 -1.836145 -2.219978  0.383833 0.38
36 -1.836146 -2.221415  0.385269 0.39
37 -1.836153 -2.223765  0.387612 0.39
38 -1.836164 -2.226838  0.390674 0.39
39 -1.836172 -2.230441  0.394269 0.39
40 -1.836184 -2.234408  0.398224 0.40
41 -1.836201 -2.238574  0.402373 0.40
42 -1.836203 -2.242773  0.406569 0.41
43 -1.836212 -2.246895  0.410683 0.41
44 -1.836217 -2.250824  0.414606 0.41
45 -1.836221 -2.254475  0.418255 0.42
46 -1.836215 -2.257784  0.421569 0.42
47 -1.836215 -2.260731  0.424516 0.42
48 -1.836214 -2.263303  0.427089 0.43
49 -1.836213 -2.265520  0.429306 0.43
50 -1.836209 -2.267418  0.431208 0.43
51 -1.836200 -2.269052  0.432853 0.43
52 -1.836187 -2.270496  0.434309 0.43
53 -1.836185 -2.271834  0.435649 0.44
54 -1.836176 -2.273119  0.436943 0.44
55 -1.836171 -2.274417  0.438246 0.44
56 -1.836173 -2.275768  0.439595 0.44
57 -1.836163 -2.277167  0.441004 0.44
58 -1.836163 -2.278623  0.442460 0.44
